# The correction register ([2026] VJS-PC 21 D3).
#
# Records that are BINDING AND FLAGGED: in force, relied upon, and carrying a visible
# obligation to supply the missing opinion. NOT void, NOT stayed, NOT deleted (D2).
#
# This file may only SHRINK. The gate compares it EXACTLY against what it finds, so a NEW
# flagged record fails AND an entry that is no longer real also fails until it is removed.
# The second limb is the one that matters: it is what stops a register becoming a place
# where obligations go to be forgotten.
#
# obligation_since is the date the obligation AROSE, per Denning: an obligation without a
# date is an obligation nobody is failing.
#
order_id	citation	seats	defect	obligation_since
2026-VJS-CC-CODEX-BEARER-DELIVERY-003	[2026] VJS-CC-VJS 3	1	BENCH_OPINION_MISSING	2026-07-27
2026-VJS-CC-CODEX-CELL-BOUNDARY-005	[2026] VJS-CC-VJS 5	1	BENCH_OPINION_MISSING	2026-07-27
2026-VJS-CC-CODEX-CELL-UID-CAPABILITY-006	[2026] VJS-CC-VJS 6	1	BENCH_OPINION_MISSING	2026-07-27
2026-VJS-CC-CODEX-CELL-UID-CAPABILITY-007	[2026] VJS-CC-VJS 7	1	BENCH_OPINION_MISSING	2026-07-27
2026-VJS-CC-CODEX-EFFECTIVE-TOOLS-004	[2026] VJS-CC-VJS 4	1	BENCH_OPINION_MISSING	2026-07-27
2026-VJS-CC-CODEX-PROXY-INGRESS-001	[2026] VJS-CC-VJS 1	1	BENCH_OPINION_MISSING	2026-07-27
2026-VJS-CC-CODEX-SEQUENCING-002	[2026] VJS-CC-VJS 2	1	BENCH_OPINION_MISSING	2026-07-27
2026-VJS-CC-OPBOX-CREDENTIAL-AUDITED-PATH-005	[2026] VJS-CC-OPBOX 5	1	BENCH_OPINION_MISSING	2026-07-27
2026-VJS-CC-OPBOX-DESIGN-KERNEL-LOCUS-003	[2026] VJS-CC-OPBOX 3	1	BENCH_OPINION_MISSING	2026-07-27
2026-VJS-CC-OPBOX-PSEUDONYMISER-VERB-SCOPE-004	[2026] VJS-CC-OPBOX 4	1	BENCH_OPINION_MISSING	2026-07-27
2026-VJS-CC-OPBOX-WORKFLOW-LOCUS-001	[2026] VJS-CC-OPBOX 1	1	BENCH_OPINION_MISSING	2026-07-27
2026-VJS-CC-ROUTE-EVAL-001	[2026] VJS-CC 1	1	BENCH_OPINION_MISSING	2026-07-27
2026-VJS-PC-CODEX-SOLE-RUNTIME-EGRESS-020	[2026] VJS-PC 20	3	BENCH_OPINION_MISSING	2026-07-27
